geneID,Entry,geneNames,geneName
YBR233W-A,P69850,DAD3;YBR233W-A,DAD3
YIR028W,Q04895,DAL4;YIR028W,DAL4
YJR152W,P15365,DAL5;UREP1;YJR152W;J2230,DAL5
YIR023W,P21657,DAL81;DURL;UGA35;YIR023W,DAL81
YKR034W,P26343,DAL80;UGA43;YKR034W,DAL80
YPR111W,P32328,DBF20;YPR111W,DBF20
YGR092W,P22204,DBF2;YGR092W,DBF2
YDR052C,P32325,DBF4;DNA52;YDR052C;D4205;YD9609.07C,DBF4
YNL112W,P24783,DBP2;YNL112W;N1945,DBP2
YJL033W,P20448,HCA4;DBP4;ECM24;YJL033W;J1250,HCA4
YOR180C,Q08558,DCI1;ECI2;EHD2;YOR180C,DCI1
YKL184W,P08432,SPE1;ORD1;YKL184W,SPE1
YER143W,P40087,DDI1;VSM1;YER143W,DDI1
YOL052C-A,P89113,DDR2;YOL052C-A;YOL052BC;YOL053C-A,DDR2
YNL314W,P21705,DAL82;DURM;YNL314W;N0360,DAL82
YHR028C,P18962,DAP2;YHR028C,DAP2
YJL149W,P47005,DAS1;YJL149W;J0634,DAS1
YPL119C,P24784,DBP1;YPL119C;LPH8C,DBP1
YGL078C,P20447,DBP3;YGL078C,DBP3
YHR169W,P38719,DBP8;YHR169W,DBP8
YLR276C,Q06218,DBP9;YLR276C;L9328.3,DBP9
YMR250W,Q04792,GAD1;YMR250W;YM9920.04,GAD1
YOR173W,Q12123,DCS2;YOR173W;O3625,DCS2
YFR012W,P43595,DCV1;YFR012W,DCV1
YOR245C,Q08650,DGA1;YOR245C,DGA1
YKL121W,P32330,DGR2;YKL121W;YKL525,DGR2
YDR178W,P37298,SDH4;ACN18;YDR178W;YD9395.11,SDH4
YJR159W,P35497,SOR1;SDH1;YJR159W;J2395,SOR1
YMR316W,P54005,DIA1;YMR316W;YM9924.08,DIA1
YDR480W,Q03373,DIG2;RST2;YDR480W;D8035.23,DIG2
YDR263C,Q12086,DIN7;DIN3;YDR263C;YD9320B.02C,DIN7
YIR004W,P40564,DJP1;ICS1;PAS22;YIR004W;YIB4W,DJP1
YFL018C,P09624,LPD1;DHLP1;YFL018C,LPD1
YAL013W,P31385,DEP1;FUN54;YAL013W,DEP1
YBR201W,P38307,DER1;YBR201W;YBR1413,DER1
YIL049W,P40526,DFG10;YIL049W,DFG10
YMR238W,Q05031,DFG5;YMR238W;YM9959.20,DFG5
YOR311C,Q12382,DGK1;HSD1;YOR311C;O6111,DGK1
YDR158W,P13663,HOM2;YDR158W;YD8358.12,HOM2
YOR375C,P07262,GDH1;URE1;YOR375C,GDH1
YJR139C,P31116,HOM6;YJR139C;J2132,HOM6
YOR080W,Q08496,DIA2;YOR080W;YOR29-31,DIA2
YPL265W,P53388,DIP5;YPL265W,DIP5
YDL178W,P46681,DLD2;AIP2;YDL178W,DLD2
YHR144C,P06773,DCD1;YHR144C,DCD1
YDR047W,P32347,HEM12;HEM6;POP3;YDR047W;YD9609.03,HEM12
YPL194W,Q08949,DDC1;YPL194W,DDC1
