,seed_id
s_0869,CHEBI:60443
s_0870,CHEBI:62719
s_0871,CHEBI:62719
s_0872,CHEBI:62719
s_0873,CHEBI:60441
s_0874,CHEBI:60441
s_0875,CHEBI:60441
s_0876,CHEBI:62717
s_0877,CHEBI:62717
s_0878,CHEBI:62717
s_0879,CHEBI:60445
s_0880,CHEBI:60445
s_0881,CHEBI:60445
s_0882,CHEBI:53005
s_0883,CHEBI:53005
s_0884,CHEBI:53005
s_0885,CHEBI:60446
s_0886,CHEBI:60446
s_0887,CHEBI:60446
s_0888,CHEBI:62684
s_0889,CHEBI:62684
s_0890,CHEBI:62684
s_0892,CHEBI:60245
s_0894,CHEBI:60402
s_0895,CHEBI:60402
s_0896,CHEBI:60402
s_0897,CHEBI:60405
s_0898,CHEBI:60405
s_0899,CHEBI:60405
s_0900,CHEBI:60410
s_0901,CHEBI:60410
s_0902,CHEBI:60410
s_0903,CHEBI:60412
s_0904,CHEBI:60412
s_0905,CHEBI:60412
s_0906,CHEBI:60406
s_0907,CHEBI:60406
s_0908,CHEBI:60406
s_0909,CHEBI:60409
s_0910,CHEBI:60409
s_0911,CHEBI:60409
s_0912,CHEBI:60413
s_0913,CHEBI:60413
s_0914,CHEBI:60413
s_0915,CHEBI:53004
s_0916,CHEBI:53004
s_0917,CHEBI:53004
s_0918,CHEBI:60414
s_0919,CHEBI:60414
s_0920,CHEBI:60414
s_0921,CHEBI:60415
s_0922,CHEBI:60415
s_0923,CHEBI:60415
s_0924,C14818
s_0925,C14818
s_0926,C14818
s_0927,C12296
s_0928,C12296
s_0929,C07328
s_0930,C07328
s_0931,C07328
s_0932,C14710
s_0933,C14710
s_0934,C14710
s_0935,CHEBI:50569
s_0936,CHEBI:50569
s_0937,CHEBI:48943
s_0938,CHEBI:48943
s_0939,CHEBI:48943
s_0940,C00311
s_0941,C00311
s_0942,C00311
s_0943,C00129
s_0944,C00129
s_0945,C00129
s_0946,C00490
s_0949,C00531
s_0950,C00081
s_0951,C00166
s_0952,C03508
s_0953,C00956
s_0954,C05938
s_0955,C00041
s_0956,C00041
s_0957,C00041
s_0958,C05519
s_0959,C04076
s_0960,C11822
s_0961,C00532
s_0962,C00532
s_0963,C00259
s_0964,C00259
s_0965,C00062
s_0966,C00062
s_0967,C00062
s_0968,C00062
s_0969,C00152
s_0970,C00152
s_0971,C00152
s_0972,C00152
s_0973,C00049
s_0974,C00049
s_0975,C00049
s_0976,C00049
s_0977,C00049
s_0978,C00441
s_0979,C00327
s_0980,C02291
s_0981,C00097
s_0982,C00097
s_0983,C01419
s_0984,C00491
s_0985,C00491
s_0986,C03287
s_0987,C03738
s_0988,C00669
s_0989,C01722
s_0990,C01722
s_0991,C00025
s_0992,C00025
s_0993,C00025
s_0994,C00025
s_0995,C00025
s_0996,C00025
s_0997,C01165
s_0999,C00064
s_1000,C00064
s_1001,C00064
s_1002,C00064
s_1003,C00037
s_1004,C00037
s_1005,C00037
s_1006,C00135
s_1007,C00135
s_1008,C00135
s_1009,C00135
s_1010,C00860
s_1011,C01100
s_1012,C00155
s_1014,C00263
s_1015,C00263
s_1016,C00407
s_1017,C00407
s_1018,C00407
s_1019,C00407
s_1020,C00328
s_1021,C00123
s_1022,C00123
s_1023,C00123
s_1024,C00123
s_1025,C00047
s_1026,C00047
s_1027,C00047
s_1028,C00047
s_1029,C00073
s_1030,C00073
s_1031,C00073
s_1032,C00079
s_1033,C00079
s_1034,C00079
s_1035,C00148
s_1036,C00148
s_1037,C00148
s_1038,C00449
s_1039,C00065
s_1040,C00065
s_1041,C00065
s_1042,C00065
s_1043,C00247
s_1044,C00247
s_1045,C00188
s_1046,C00188
s_1047,C00188
s_1048,C00078
s_1049,C00078
s_1050,C00078
s_1051,C00082
s_1052,C00082
s_1053,C00082
s_1054,C00082
s_1055,C00082
s_1056,C00183
s_1057,C00183
s_1058,C00183
s_1059,C01724
s_1061,C01724
s_1065,C02679
s_1067,C02679
s_1070,C02679
s_1073,C01832
s_1076,C01832
s_1077,C02047
s_1078,C02047
s_1079,C00909
s_1080,C00909
s_1081,C02165
s_1082,C02165
s_1085,C08320
s_1096,C01356
s_1097,C00248
s_1098,C02051
s_1099,C01931
s_1100,C01931
s_1101,C00083
s_1104,C00083
s_1105,C00208
s_1106,C00208
s_1107,C00464
s_1108,C00464
s_1109,CHEBI:60449
s_1110,CHEBI:60449
s_1111,CHEBI:60448
s_1112,CHEBI:60448
s_1114,CHEBI:25168
s_1116,CHEBI:60416
s_1117,CHEBI:60416
s_1118,CHEBI:60416
s_1119,CHEBI:62706
s_1120,CHEBI:62706
s_1121,CHEBI:62706
s_1122,CHEBI:60420
s_1123,CHEBI:60420
s_1124,CHEBI:60420
s_1125,CHEBI:62710
s_1126,CHEBI:62710
s_1127,CHEBI:62710
s_1128,CHEBI:60418
s_1129,CHEBI:60418
s_1130,CHEBI:60418
s_1131,CHEBI:62708
s_1132,CHEBI:62708
s_1133,CHEBI:62708
s_1134,CHEBI:60422
s_1135,CHEBI:60422
s_1136,CHEBI:60422
s_1137,CHEBI:62712
s_1138,CHEBI:62712
s_1139,CHEBI:62712
s_1140,CHEBI:60435
s_1141,CHEBI:60435
s_1142,CHEBI:60435
s_1143,CHEBI:62683
s_1144,CHEBI:62683
s_1145,CHEBI:62683
s_1148,C02430
s_1149,C02430
s_1150,C00409
s_1151,C00546
s_1153,C00137
s_1154,C00137
s_1156,C01284
s_1157,C01284
s_1158,C01204
s_1159,C01204
s_1161,C06424
s_1163,C06424
s_1166,C06424
s_1176,C02593
s_1179,C02593
s_1180,C00612
s_1181,C02567
s_1182,C00437
s_1183,C01152
s_1184,C04537
s_1185,CHEBI:50611
s_1186,CHEBI:50611
s_1187,C04302
s_1188,C04352
s_1189,C04501
s_1190,C00357
s_1191,C04133
s_1192,C00624
s_1193,C02714
s_1194,C00438
s_1195,C02700
s_1196,CHEBI:50603
s_1198,C00003
s_1199,C00003
s_1200,C00003
s_1201,C00003
s_1202,C00003
s_1203,C00004
s_1204,C00004
s_1205,C00004
s_1206,C00004
s_1207,C00006
s_1208,C00006
s_1210,C00006
s_1211,C00006
s_1212,C00005
s_1213,C00005
s_1214,C00005
s_1215,C00005
