,seed_id
s_0783[g],C00144
s_0785[c],C00044
s_0786[m],C00044
s_0787[c],C00242
s_0788[e],C00242
s_0789[m],C00242
s_0790[c],C00387
s_0791[e],C00387
s_0792[m],C00387
s_0793[ce],cpd00067
s_0794[c],cpd00067
s_0795[er],cpd00067
s_0796[e],cpd00067
s_0797[g],cpd00067
s_0798[lp],cpd00067
s_0799[m],cpd00067
s_0800[n],cpd00067
s_0801[p],cpd00067
s_0802[v],cpd00067
s_0803[c],cpd00001
s_0804[er],cpd00001
s_0805[e],cpd00001
s_0806[g],cpd00001
s_0807[m],cpd00001
s_0808[n],cpd00001
s_0809[p],cpd00001
s_0810[v],cpd00001
s_0811[m],C15670
s_0812[m],C15672
s_0813[lp],CHEBI:53032
s_0814[lp],CHEBI:53036
s_0815[lp],C04216
s_0816[c],CHEBI:52966
s_0817[er],CHEBI:52966
s_0819[p],CHEBI:52966
s_0823[p],MNXM581
s_0825[er],C00517
s_0826[e],C00517
s_0829[lp],CHEBI:53037
s_0830[lp],C01230
s_0831[m],C01230
s_0832[c],C02988
s_0833[m],C02988
s_0834[m],C01251
s_0835[n],C01251
s_0836[m],C05662
s_0837[c],C00027
s_0838[m],C00027
s_0839[n],C00027
s_0840[p],C00027
s_0841[c],C00283
s_0843[c],C00262
s_0844[e],C00262
s_0845[lp],CHEBI:53033
s_0846[c],C00104
s_0847[c],C03127
s_0848[m],C03127
s_0849[c],C00130
s_0850[c],C00637
s_0851[e],C00637
s_0852[m],C00637
s_0853[c],C00954
s_0854[m],C00954
s_0855[c],C00331
s_0856[c],C00294
s_0857[e],C00294
s_0859[g],CHEBI:62682
s_0861[er],CHEBI:60439
s_0862[g],CHEBI:60439
s_0863[m],CHEBI:60439
s_0864[er],CHEBI:62715
s_0865[g],CHEBI:62715
s_0866[m],CHEBI:62715
s_0867[er],CHEBI:60443
s_0868[g],CHEBI:60443
s_0869[m],CHEBI:60443
s_0870[er],CHEBI:62719
s_0871[g],CHEBI:62719
s_0872[m],CHEBI:62719
s_0873[er],CHEBI:60441
s_0874[g],CHEBI:60441
s_0875[m],CHEBI:60441
s_0876[er],CHEBI:62717
s_0877[g],CHEBI:62717
s_0878[m],CHEBI:62717
s_0879[er],CHEBI:60445
s_0880[g],CHEBI:60445
s_0881[m],CHEBI:60445
s_0882[er],CHEBI:53005
s_0883[g],CHEBI:53005
s_0884[m],CHEBI:53005
s_0885[er],CHEBI:60446
s_0886[g],CHEBI:60446
s_0887[m],CHEBI:60446
s_0888[er],CHEBI:62684
s_0889[g],CHEBI:62684
s_0890[m],CHEBI:62684
s_0892[g],CHEBI:60245
s_0894[er],CHEBI:60402
s_0895[g],CHEBI:60402
s_0896[m],CHEBI:60402
s_0897[er],CHEBI:60405
s_0898[g],CHEBI:60405
s_0899[m],CHEBI:60405
s_0900[er],CHEBI:60410
s_0901[g],CHEBI:60410
s_0902[m],CHEBI:60410
s_0903[er],CHEBI:60412
s_0904[g],CHEBI:60412
s_0905[m],CHEBI:60412
s_0906[er],CHEBI:60406
s_0907[g],CHEBI:60406
s_0908[m],CHEBI:60406
